Timestamp,EnteringGradeLevel,District,BirthMonth,OLSATVerbalScore,OLSATVerbalPercentile,NNATNonVerbalRawScore,NNATNonVerbalPercentile,OverallScore,SchoolPreferences,SchoolAssigned,Willyouenrollthere,TimestampYear
2018-03-27,kindergarten,29,October,26,97,43,99,98,"NEST+m, PS11",NA,NA,2018
2018-03-27,kindergarten,30,January,27,95,46,99,98,Q300,NA,NA,2018
2018-03-28,kindergarten,2,September,22,97,44,99,98,"LL, TAG",NA,NA,2018
2018-03-28,kindergarten,2,April,23,96,40,99,98,"LL, PS 198, PS 11, PS 33, PS130",NA,NA,2018
2018-03-29,kindergarten,2,July,21,95,40,99,98,"NEST+M, TAG",NA,"Yes, unlikely to get an offer though. =(",2018
2018-04-06,kindergarten,2,March,24,98,36,98,98,NA,NA,Maybe,2018
2018-04-07,kindergarten,14,March,28,97,45,99,98,NA,NA,Has anyone ever gotten into NEST+M or Anderson without a sibling with a 98?,2018
2018-04-10,kindergarten,3,April,23,96,40,99,98,Anderson or 166 but not expecting to get in,NA,NA,2018
2018-04-14,kindergarten,2,October,21,97,37,99,98,"NEST, Anderson, PS33",NA,Yes,2018
2018-04-14,kindergarten,2,October,25,95,47,99,98,NA,NA,NA,2018
2018-06-04,kindergarten,2,NA,0,97,0,99,98,"NEST, PS33, PS11",PS33,YES,2018
2018-03-27,kindergarten,14,June,27,94,41,99,97,NA,NA,NA,2018
2018-03-27,first,30,May,25,92,44,99,97,122,122,y,2018
2018-03-28,kindergarten,2,November,20,96,31,97,97,NA,130,NA,2018
2018-03-28,kindergarten,2,January,26,91,45,99,97,N/A stay district g&t,NA,NA,2018
2018-03-29,kindergarten,1,June,20,90,41,99,97,Keeping her in PS42M.,NA,Not enrolling in any G&T Schools.,2018
2018-04-02,kindergarten,28,July,20,91,36,99,97,"NEST, PS174Q",NA,Have 7th grade sibling at NEST so hope to get in!,2018
2018-03-27,first,2,May,20,90,43,99,96,NA,NA,NA,2018
2018-03-27,kindergarten,15,September,23,88,46,99,96,Not sure,NA,NA,2018
2018-03-27,kindergarten,15,November,24,90,44,99,96,None,NA,NA,2018
2018-03-27,kindergarten,32,August,26,97,36,94,96,"Anderson, NEST, TAG",NA,maybe,2018
2018-03-28,kindergarten,4,April,28,99,34,86,96,Already in PS 102m,NA,NA,2018
2018-03-28,kindergarten,13,May,24,88,43,99,96,NA,NA,Missed the sib cut for citywide. Already in District G&T,2018
2018-03-31,kindergarten,3,August,24,87,47,99,96,Likely none,NA,NA,2018
2018-04-09,kindergarten,2,December,19,93,31,98,96,LL,NA,Yes,2018
2018-06-05,kindergarten,13,April,20,90,39,99,96,PS38,PS38,Yes (sibling is already in G&T in PS 38),2018
2018-03-27,first,2,April,18,84,39,99,95,NA,NA,NA,2018
2018-03-27,first,2,June,20,91,34,97,95,Anderson/NEST only,NA,Will not enroll if get PS 165/163. Maybe 166 but doubtful,2018
2018-03-27,first,2,May,22,94,34,96,95,NA,NA,NA,2018
2018-03-27,kindergarten,26,September,24,93,37,96,95,"PS 188, PS 203",NA,"yes, if we get an offer",2018
2018-03-28,kindergarten,3,November,16,84,33,99,95,"PS166, PS163",NA,"Yes, but I guess not likely to get offer",2018
